legacy_url	new_url	anchor	page	duplicate
https://docs.arcadedb.com/#vector-neighbors-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-neighbors-ext	vector-neighbors-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-neighbours	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-neighbours	vector-neighbours	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-normalize	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-normalize	vector-normalize	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-normalize-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-normalize-ext	vector-normalize-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-normalize-scores	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-normalize-scores	vector-normalize-scores	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-normalizescores-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-normalizescores-ext	vector-normalizescores-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-quantization-functions	https://docs.arcadedb.com/arcadedb/reference/vector-functions/quantization.html	vector-quantization-functions	reference/vector-functions/quantization.adoc	0
https://docs.arcadedb.com/#vector-quantize-binary	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-quantize-binary	vector-quantize-binary	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-quantize-int8	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-quantize-int8	vector-quantize-int8	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-quantizebinary-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-quantizebinary-ext	vector-quantizebinary-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-quantizeint8-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-quantizeint8-ext	vector-quantizeint8-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-rrf-score	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-rrf-score	vector-rrf-score	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-rrfscore-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-rrfscore-ext	vector-rrfscore-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-scale	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-scale	vector-scale	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-scale-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-scale-ext	vector-scale-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-score-transform	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-score-transform	vector-score-transform	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-scoretransform-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-scoretransform-ext	vector-scoretransform-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-scoring	https://docs.arcadedb.com/arcadedb/reference/vector-functions/scoring.html	vector-scoring	reference/vector-functions/scoring.adoc	0
https://docs.arcadedb.com/#vector-search-concepts	https://docs.arcadedb.com/arcadedb/concepts/vector-search.html#vector-search-concepts	vector-search-concepts	concepts/vector-search.adoc	0
https://docs.arcadedb.com/#vector-search-tutorial	https://docs.arcadedb.com/arcadedb/tutorials/vector-search-tutorial.html	vector-search-tutorial	tutorials/vector-search-tutorial.adoc	0
https://docs.arcadedb.com/#vector-sparse	https://docs.arcadedb.com/arcadedb/reference/vector-functions/sparse-vectors.html	vector-sparse	reference/vector-functions/sparse-vectors.adoc	0
https://docs.arcadedb.com/#vector-sparse-create	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-sparse-create	vector-sparse-create	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-sparse-dot	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-sparse-dot	vector-sparse-dot	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-sparse-to-dense	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-sparse-to-dense	vector-sparse-to-dense	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-sparsecreate-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-sparsecreate-ext	vector-sparsecreate-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-sparsedot-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-sparsedot-ext	vector-sparsedot-ext	reference/extended-functions.adoc	0
